frame.number	frame.time_relative	usb.endpoint_address	usb.endpoint_address.direction	usb.endpoint_address.number	usb.transfer_type	usb.urb_type	usb.data_len	usb.capdata
1552	8.148868000	0x81	1	1	0x01		0	
1553	8.152851000	0x81	1	1	0x01		64	
1554	8.152871000	0x81	1	1	0x01		0	
1555	8.156852000	0x81	1	1	0x01		64	
1556	8.156872000	0x81	1	1	0x01		0	
1559	8.160848000	0x81	1	1	0x01		64	
1560	8.160867000	0x81	1	1	0x01		0	
1561	8.164849000	0x81	1	1	0x01		64	
1562	8.164867000	0x81	1	1	0x01		0	
1563	8.168852000	0x81	1	1	0x01		64	
1564	8.168871000	0x81	1	1	0x01		0	
1565	8.172848000	0x81	1	1	0x01		64	
1566	8.172866000	0x81	1	1	0x01		0	
1567	8.176849000	0x81	1	1	0x01		64	
1568	8.176868000	0x81	1	1	0x01		0	
1573	8.180850000	0x81	1	1	0x01		64	
1574	8.180870000	0x81	1	1	0x01		0	
1575	8.184851000	0x81	1	1	0x01		64	
1576	8.184871000	0x81	1	1	0x01		0	
1577	8.188854000	0x81	1	1	0x01		64	
1578	8.188875000	0x81	1	1	0x01		0	
1579	8.192851000	0x81	1	1	0x01		64	
1580	8.192871000	0x81	1	1	0x01		0	
1581	8.196851000	0x81	1	1	0x01		64	
1582	8.196870000	0x81	1	1	0x01		0	
1587	8.200852000	0x81	1	1	0x01		64	
1588	8.200872000	0x81	1	1	0x01		0	
1589	8.204850000	0x81	1	1	0x01		64	
1590	8.204868000	0x81	1	1	0x01		0	
1591	8.208850000	0x81	1	1	0x01		64	
1592	8.208870000	0x81	1	1	0x01		0	
1593	8.212851000	0x81	1	1	0x01		64	
1594	8.212872000	0x81	1	1	0x01		0	
1595	8.216853000	0x81	1	1	0x01		64	
1596	8.216873000	0x81	1	1	0x01		0	
1599	8.220852000	0x81	1	1	0x01		64	
1600	8.220871000	0x81	1	1	0x01		0	
1601	8.224849000	0x81	1	1	0x01		64	
1602	8.224867000	0x81	1	1	0x01		0	
1603	8.228852000	0x81	1	1	0x01		64	
1604	8.228873000	0x81	1	1	0x01		0	
1605	8.232851000	0x81	1	1	0x01		64	
1606	8.232870000	0x81	1	1	0x01		0	
1607	8.236851000	0x81	1	1	0x01		64	
1608	8.236870000	0x81	1	1	0x01		0	
1609	8.240848000	0x81	1	1	0x01		64	
1610	8.240864000	0x81	1	1	0x01		0	
1613	8.244850000	0x81	1	1	0x01		64	
1614	8.244868000	0x81	1	1	0x01		0	
1615	8.248851000	0x81	1	1	0x01		64	
1616	8.248869000	0x81	1	1	0x01		0	
1617	8.252894000	0x81	1	1	0x01		64	
1618	8.252911000	0x81	1	1	0x01		0	
1619	8.256850000	0x81	1	1	0x01		64	
1620	8.256868000	0x81	1	1	0x01		0	
1625	8.260851000	0x81	1	1	0x01		64	
1626	8.260869000	0x81	1	1	0x01		0	
1627	8.264878000	0x81	1	1	0x01		64	
1628	8.265051000	0x81	1	1	0x01		0	
1629	8.268856000	0x81	1	1	0x01		64	
1630	8.268874000	0x81	1	1	0x01		0	
1631	8.272849000	0x81	1	1	0x01		64	
1632	8.272868000	0x81	1	1	0x01		0	
1635	8.276852000	0x81	1	1	0x01		64	
1636	8.276866000	0x81	1	1	0x01		0	
1639	8.280854000	0x81	1	1	0x01		64	
1640	8.280875000	0x81	1	1	0x01		0	
1641	8.284851000	0x81	1	1	0x01		64	
1642	8.284874000	0x81	1	1	0x01		0	
1643	8.288852000	0x81	1	1	0x01		64	
1644	8.288875000	0x81	1	1	0x01		0	
1645	8.292854000	0x81	1	1	0x01		64	
1646	8.292875000	0x81	1	1	0x01		0	
1647	8.296859000	0x81	1	1	0x01		64	
1648	8.296881000	0x81	1	1	0x01		0	
1651	8.300856000	0x81	1	1	0x01		64	
1652	8.300880000	0x81	1	1	0x01		0	
1653	8.304855000	0x81	1	1	0x01		64	
1654	8.304876000	0x81	1	1	0x01		0	
1655	8.308858000	0x81	1	1	0x01		64	
1656	8.308886000	0x81	1	1	0x01		0	
1657	8.312854000	0x81	1	1	0x01		64	
1658	8.312878000	0x81	1	1	0x01		0	
1659	8.316863000	0x81	1	1	0x01		64	
1660	8.316886000	0x81	1	1	0x01		0	
1663	8.320865000	0x81	1	1	0x01		64	
1664	8.320892000	0x81	1	1	0x01		0	
1665	8.324863000	0x81	1	1	0x01		64	
1666	8.324887000	0x81	1	1	0x01		0	
1667	8.328857000	0x81	1	1	0x01		64	
1668	8.328888000	0x81	1	1	0x01		0	
1669	8.332857000	0x81	1	1	0x01		64	
1670	8.332885000	0x81	1	1	0x01		0	
1672	8.336851000	0x81	1	1	0x01		64	
1673	8.336870000	0x81	1	1	0x01		0	
1681	8.340852000	0x81	1	1	0x01		64	
1682	8.340874000	0x81	1	1	0x01		0	
1683	8.344852000	0x81	1	1	0x01		64	
1684	8.344872000	0x81	1	1	0x01		0	
1685	8.348852000	0x81	1	1	0x01		64	
1686	8.348872000	0x81	1	1	0x01		0	
1687	8.352857000	0x81	1	1	0x01		64	
1688	8.352879000	0x81	1	1	0x01		0	
1689	8.356856000	0x81	1	1	0x01		64	
1690	8.356879000	0x81	1	1	0x01		0	
1694	8.360852000	0x81	1	1	0x01		64	
1695	8.360863000	0x81	1	1	0x01		0	
1699	8.364851000	0x81	1	1	0x01		64	
1700	8.364871000	0x81	1	1	0x01		0	
